publications,country,ai_concept,pub_type,impact_level,year
2.4508928640389023,FRA,All AI research,All publication types,All works,2020
2.3106252331980492,FRA,All AI research,All publication types,All works,2021
2.3761429410371377,FRA,All AI research,All publication types,All works,2022
2.2240239218827567,FRA,All AI research,All publication types,All works,2023
2.487142253022821,FRA,All AI research,All publication types,All works,2024
1.8199681465231607,FRA,All AI research,All publication types,All works,2025
3.0977830508924034,ESP,All AI research,All publication types,All works,2000
3.8403014049855906,ESP,All AI research,All publication types,All works,2001
2.376870008774056,ESP,All AI research,All publication types,All works,2002
2.7752662593656052,ESP,All AI research,All publication types,All works,2003
3.4103548633036107,ESP,All AI research,All publication types,All works,2004
2.7287784419770396,ESP,All AI research,All publication types,All works,2005
3.2517295813806477,ESP,All AI research,All publication types,All works,2006
3.3288045422197525,ESP,All AI research,All publication types,All works,2007
2.640121630349732,ESP,All AI research,All publication types,All works,2008
3.1239778864420567,ESP,All AI research,All publication types,All works,2009
2.9322339746320725,ESP,All AI research,All publication types,All works,2010
3.3458854065923735,ESP,All AI research,All publication types,All works,2011
2.6813437162209226,ESP,All AI research,All publication types,All works,2012
2.711921688548566,ESP,All AI research,All publication types,All works,2013
2.534396326753754,ESP,All AI research,All publication types,All works,2014
2.4743247722818724,ESP,All AI research,All publication types,All works,2015
2.0672586106709208,ESP,All AI research,All publication types,All works,2016
2.0000543277393756,ESP,All AI research,All publication types,All works,2017
1.7194674926981388,ESP,All AI research,All publication types,All works,2018
1.6959820508909262,ESP,All AI research,All publication types,All works,2019
1.3723010536376785,ESP,All AI research,All publication types,All works,2020
1.2841240138310377,ESP,All AI research,All publication types,All works,2021
1.2957685021891618,ESP,All AI research,All publication types,All works,2022
1.2039670596556367,ESP,All AI research,All publication types,All works,2023
1.098646881191204,ESP,All AI research,All publication types,All works,2024
1.0413257410733034,ESP,All AI research,All publication types,All works,2025
3.270723117456553,CAN,All AI research,All publication types,All works,2000
3.271084646382727,CAN,All AI research,All publication types,All works,2001
3.881422670411615,CAN,All AI research,All publication types,All works,2002
3.4087479494966786,CAN,All AI research,All publication types,All works,2003
3.0521951085994203,CAN,All AI research,All publication types,All works,2004
3.0513713560452804,CAN,All AI research,All publication types,All works,2005
2.755765142271409,CAN,All AI research,All publication types,All works,2006
2.606652817544751,CAN,All AI research,All publication types,All works,2007
2.234903297712282,CAN,All AI research,All publication types,All works,2008
2.0701646985800024,CAN,All AI research,All publication types,All works,2009
2.142406315605226,CAN,All AI research,All publication types,All works,2010
2.0444179983019133,CAN,All AI research,All publication types,All works,2011
2.2376330973367127,CAN,All AI research,All publication types,All works,2012
2.3606680694125175,CAN,All AI research,All publication types,All works,2013
2.0211694095171024,CAN,All AI research,All publication types,All works,2014
2.1813287195119315,CAN,All AI research,All publication types,All works,2015
2.1320338549560054,CAN,All AI research,All publication types,All works,2016
2.0049368346824274,CAN,All AI research,All publication types,All works,2017
2.0253669925362123,CAN,All AI research,All publication types,All works,2018
2.2326400954780863,CAN,All AI research,All publication types,All works,2019
2.171276140256764,CAN,All AI research,All publication types,All works,2020
2.082571348777677,CAN,All AI research,All publication types,All works,2021
1.6823565531323725,CAN,All AI research,All publication types,All works,2022
1.763146369714359,CAN,All AI research,All publication types,All works,2023
1.4260445462095839,CAN,All AI research,All publication types,All works,2024
1.7537723791590263,CAN,All AI research,All publication types,All works,2025
